coordinates,sentiment
,negative
,negative
,negative
,positive
,neutral
,positive
,positive
,positive
,negative
,positive
,negative
,negative
,negative
,neutral
,negative
,positive
,negative
,negative
,positive
,neutral
,positive
,negative
,positive
,negative
,positive
,negative
,neutral
,negative
,positive
,negative
,positive
,neutral
,neutral
,positive
,positive
,negative
,negative
"[[[-95.774704, 35.995476], [-95.774704, 40.613641], [-89.098843, 40.613641], [-89.098843, 35.995476]]]",negative
,neutral
,negative
,negative
,neutral
,negative
,negative
,neutral
,positive
,positive
,negative
,negative
,negative
,positive
,positive
,negative
,neutral
,neutral
,negative
"[[[-87.095676, 34.507116], [-87.095676, 34.654734], [-86.925426, 34.654734], [-86.925426, 34.507116]]]",negative
,negative
,neutral
,negative
,neutral
,positive
,negative
,neutral
,negative
,negative
,positive
,neutral
,negative
,positive
,positive
,neutral
,positive
,negative
,negative
,positive
,positive
,negative
,negative
,neutral
,negative
"[[[-85.404424, 34.983674], [-85.404424, 35.200235], [-85.080704, 35.200235], [-85.080704, 34.983674]]]",neutral
,positive
,positive
,negative
,negative
,negative
,positive
,positive
,negative
,negative
,neutral
,positive
,negative
,negative
,neutral
,negative
,neutral
,positive
,negative
,negative
,neutral
,positive
,negative
,negative
,positive
,positive
,positive
,neutral
,neutral
,positive
,negative
,negative
,negative
,positive
,negative
,negative
,negative
,positive
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,negative
,negative
,negative
,positive
,positive
,positive
,neutral
,neutral
,negative
,negative
,negative
,negative
,positive
,negative
,neutral
,positive
,negative
,negative
,positive
,positive
,positive
,negative
,negative
,neutral
,negative
,negative
,negative
,negative
,positive
,neutral
,negative
,neutral
,positive
,positive
,negative
,positive
,neutral
,positive
,negative
,negative
,positive
,negative
,neutral
,negative
,positive
,negative
,positive
,positive
,negative
,positive
,positive
,neutral
,positive
,positive
,negative
,positive
,positive
,neutral
,negative
,negative
,negative
,neutral
,neutral
,positive
,neutral
,neutral
,negative
,neutral
,negative
,negative
,negative
,neutral
,negative
,neutral
,positive
,negative
,negative
,positive
,neutral
,positive
,negative
,negative
,positive
,neutral
,neutral
,positive
,neutral
,neutral
,positive
,neutral
,negative
,positive
,negative
,negative
,negative
,neutral
,positive
,negative
,positive
,negative
,positive
,neutral
,negative
,negative
,positive
,neutral
,negative
,positive
,positive
,neutral
,negative
,neutral
,positive
,positive
,negative
,negative
,negative
,negative
,neutral
,positive
,positive
,positive
,neutral
,negative
,neutral
,neutral
,neutral
,positive
,negative
,neutral
,positive
,neutral
,negative
,negative
,negative
,negative
,negative
,neutral
,positive
,neutral
,negative
,positive
,negative
,negative
,positive
,neutral
,neutral
,negative
,positive
,neutral
,positive
,negative
,neutral
,positive
,positive
,positive
,positive
,negative
,negative
,negative
,negative
,negative
,negative
,positive
,negative
,negative
,positive
,negative
,negative
,negative
,negative
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",positive
,negative
,negative
,neutral
,positive
,neutral
,positive
,negative
,neutral
,negative
,negative
,negative
,neutral
,negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
,negative
,neutral
,negative
,neutral
,neutral
,negative
,negative
,neutral
,neutral
,negative
,positive
,negative
,positive
,neutral
,negative
,positive
,negative
,positive
,negative
,positive
,negative
,positive
,negative
,negative
,neutral
,negative
,positive
,negative
,negative
,neutral
,negative
,negative
,positive
,negative
,neutral
,negative
,negative
,positive
,negative
,neutral
,neutral
,negative
,positive
,positive
,negative
,negative
,positive
,negative
,negative
,negative
,neutral
,positive
,negative
,positive
,negative
,positive
,positive
,positive
,negative
,negative
,positive
,positive
,negative
,neutral
,negative
,negative
,positive
,positive
"[[[-2.16524, 57.027604], [-2.16524, 57.045974], [-2.133989, 57.045974], [-2.133989, 57.027604]]]",negative
,negative
,negative
,negative
,neutral
,negative
,negative
,negative
,negative
,negative
,negative
,negative
,neutral
"[[[-85.287055, 45.272413], [-85.287055, 45.34554], [-85.21537, 45.34554], [-85.21537, 45.272413]]]",negative
,neutral
,negative
,negative
,negative
,negative
,positive
,neutral
,positive
,positive
,neutral
,negative
,negative
,positive
,negative
,negative
,neutral
"[[[-100.765287, 20.467676], [-100.765287, 20.719133], [-100.475802, 20.719133], [-100.475802, 20.467676]]]",positive
,positive
,positive
,positive
,positive
,positive
,negative
,negative
,neutral
,negative
,negative
,positive
,positive
,negative
,negative
,positive
,neutral
,negative
,neutral
,negative
,neutral
,positive
,negative
,positive
,positive
,negative
,neutral
,positive
,negative
,positive
,positive
,negative
,negative
,positive
,negative
,negative
,neutral
,negative
,positive
,neutral
,neutral
,negative
,positive
,positive
,neutral
,negative
,positive
,positive
,positive
,negative
,neutral
,positive
,neutral
,negative
,positive
,neutral
,neutral
,positive
,positive
,negative
,neutral
,positive
,positive
,negative
,negative
,negative
,negative
,neutral
,positive
,negative
,neutral
,negative
,positive
,neutral
,positive
,positive
,positive
,negative
,positive
,negative
,positive
,positive
,negative
,positive
,positive
,neutral
,negative
,positive
,negative
,positive
,negative
,negative
,positive
,neutral
,positive
,negative
,positive
,positive
,negative
,positive
,negative
,negative
,negative
,neutral
,negative
,positive
,negative
,positive
,negative
,negative
,neutral
,positive
,negative
,neutral
,negative
,negative
,neutral
,negative
,negative
,negative
,negative
,positive
,positive
,neutral
,negative
,positive
,positive
,neutral
,negative
,positive
,neutral
,positive
,positive
,neutral
,neutral
,neutral
,negative
,positive
,negative
,negative
,neutral
,neutral
,negative
,negative
,neutral
,positive
,neutral
,neutral
"[[[-103.002652, 33.615765], [-103.002652, 37.002328], [-94.431332, 37.002328], [-94.431332, 33.615765]]]",positive
,positive
,positive
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",positive
,neutral
,negative
,neutral
,neutral
,negative
,negative
,positive
,negative
,positive
,neutral
,positive
,negative
,negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
,positive
,positive
,negative
,negative
,neutral
,negative
,neutral
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
,negative
,negative
,positive
,positive
,positive
,negative
,positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",positive
,neutral
,neutral
,negative
,negative
,positive
,negative
,positive
,neutral
,negative
,positive
,negative
,positive
,negative
,negative
,positive
,negative
,negative
,negative
